delivery_id,match_id,innings,over,ball,batting_team,bowling_team,striker,non_striker,bowler,batsman_runs,extra_runs,total_runs,extra_type,is_wicket,dismissal_type,dismissed_player,fielder
D0000001,M0001,1,1,1,Kings XI Punjab,Royal Challengers Bangalore,Yuzvendra Kumar,Harry Khan,Wriddhiman Chahar,2,0,2,,False,,,
D0000002,M0001,1,1,2,Kings XI Punjab,Royal Challengers Bangalore,Yuzvendra Kumar,Harry Khan,Wriddhiman Chahar,4,0,4,,False,,,
D0000003,M0001,1,1,3,Kings XI Punjab,Royal Challengers Bangalore,Yuzvendra Kumar,Harry Khan,Wriddhiman Chahar,0,0,0,,True,caught,Yuzvendra Kumar,Aiden Anderson
D0000004,M0001,1,1,4,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wriddhiman Chahar,2,0,2,,False,,,
D0000005,M0001,1,1,5,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wriddhiman Chahar,6,1,7,no-ball,False,,,
D0000006,M0001,1,1,6,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wriddhiman Chahar,2,0,2,,False,,,
D0000007,M0001,1,2,1,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Aiden Anderson,1,0,1,,False,,,
D0000008,M0001,1,2,2,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Aiden Anderson,0,0,0,,False,,,
D0000009,M0001,1,2,3,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Aiden Anderson,2,0,2,,False,,,
D0000010,M0001,1,2,4,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Aiden Anderson,1,0,1,,False,,,
D0000011,M0001,1,2,5,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Aiden Anderson,4,0,4,,False,,,
D0000012,M0001,1,2,6,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Aiden Anderson,6,0,6,,False,,,
D0000013,M0001,1,3,1,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wahab Dhawan,4,0,4,,False,,,
D0000014,M0001,1,3,2,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wahab Dhawan,2,0,2,,False,,,
D0000015,M0001,1,3,3,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wahab Dhawan,2,0,2,,False,,,
D0000016,M0001,1,3,4,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wahab Dhawan,4,0,4,,False,,,
D0000017,M0001,1,3,5,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wahab Dhawan,0,0,0,,False,,,
D0000018,M0001,1,3,6,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wahab Dhawan,1,0,1,,False,,,
D0000019,M0001,1,4,1,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Adil Jadeja,1,0,1,,False,,,
D0000020,M0001,1,4,2,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Adil Jadeja,2,2,4,leg-bye,False,,,
D0000021,M0001,1,4,3,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Adil Jadeja,1,2,3,bye,False,,,
D0000022,M0001,1,4,4,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Adil Jadeja,1,0,1,,False,,,
D0000023,M0001,1,4,5,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Adil Jadeja,4,0,4,,False,,,
D0000024,M0001,1,4,6,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Adil Jadeja,1,0,1,,False,,,
D0000025,M0001,1,5,1,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Marco Sundar,1,0,1,,False,,,
D0000026,M0001,1,5,2,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Marco Sundar,4,0,4,,False,,,
D0000027,M0001,1,5,3,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Marco Sundar,2,0,2,,False,,,
D0000028,M0001,1,5,4,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Marco Sundar,0,0,0,,False,,,
D0000029,M0001,1,5,5,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Marco Sundar,2,0,2,,False,,,
D0000030,M0001,1,5,6,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Marco Sundar,1,0,1,,False,,,
D0000031,M0001,1,6,1,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Tim Salt,4,0,4,,False,,,
D0000032,M0001,1,6,2,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Tim Salt,1,0,1,,False,,,
D0000033,M0001,1,6,3,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Tim Salt,1,0,1,,False,,,
D0000034,M0001,1,6,4,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Tim Salt,2,0,2,,False,,,
D0000035,M0001,1,6,5,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Tim Salt,0,0,0,,False,,,
D0000036,M0001,1,6,6,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Tim Salt,1,0,1,,False,,,
D0000037,M0001,1,7,1,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wriddhiman Chahar,1,0,1,,False,,,
D0000038,M0001,1,7,2,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wriddhiman Chahar,1,0,1,,False,,,
D0000039,M0001,1,7,3,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wriddhiman Chahar,1,0,1,,False,,,
D0000040,M0001,1,7,4,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wriddhiman Chahar,2,0,2,,False,,,
D0000041,M0001,1,7,5,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wriddhiman Chahar,2,0,2,,False,,,
D0000042,M0001,1,7,6,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wriddhiman Chahar,1,0,1,,False,,,
D0000043,M0001,1,8,1,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Aiden Anderson,6,0,6,,False,,,
D0000044,M0001,1,8,2,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Aiden Anderson,2,0,2,,False,,,
D0000045,M0001,1,8,3,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Aiden Anderson,4,0,4,,False,,,
D0000046,M0001,1,8,4,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Aiden Anderson,2,0,2,,False,,,
D0000047,M0001,1,8,5,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Aiden Anderson,4,0,4,,False,,,
D0000048,M0001,1,8,6,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Aiden Anderson,2,0,2,,False,,,
D0000049,M0001,1,9,1,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wahab Dhawan,1,0,1,,False,,,
D0000050,M0001,1,9,2,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wahab Dhawan,1,0,1,,False,,,
D0000051,M0001,1,9,3,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wahab Dhawan,2,0,2,,False,,,
D0000052,M0001,1,9,4,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wahab Dhawan,2,2,4,bye,False,,,
D0000053,M0001,1,9,5,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wahab Dhawan,2,0,2,,False,,,
D0000054,M0001,1,9,6,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wahab Dhawan,4,0,4,,False,,,
D0000055,M0001,1,10,1,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Adil Jadeja,6,0,6,,False,,,
D0000056,M0001,1,10,2,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Adil Jadeja,1,0,1,,False,,,
D0000057,M0001,1,10,3,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Adil Jadeja,1,0,1,,False,,,
D0000058,M0001,1,10,4,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Adil Jadeja,2,0,2,,False,,,
D0000059,M0001,1,10,5,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Adil Jadeja,4,0,4,,False,,,
D0000060,M0001,1,10,6,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Adil Jadeja,4,0,4,,False,,,
D0000061,M0001,1,11,1,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Marco Sundar,4,0,4,,False,,,
D0000062,M0001,1,11,2,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Marco Sundar,1,0,1,,False,,,
D0000063,M0001,1,11,3,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Marco Sundar,2,0,2,,False,,,
D0000064,M0001,1,11,4,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Marco Sundar,0,0,0,,False,,,
D0000065,M0001,1,11,5,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Marco Sundar,2,0,2,,False,,,
D0000066,M0001,1,11,6,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Marco Sundar,0,0,0,,False,,,
D0000067,M0001,1,12,1,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Tim Salt,0,1,1,leg-bye,False,,,
D0000068,M0001,1,12,2,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Tim Salt,0,4,4,bye,False,,,
D0000069,M0001,1,12,3,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Tim Salt,0,0,0,,False,,,
D0000070,M0001,1,12,4,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Tim Salt,0,0,0,,False,,,
D0000071,M0001,1,12,5,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Tim Salt,2,0,2,,False,,,
D0000072,M0001,1,12,6,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Tim Salt,4,0,4,,False,,,
D0000073,M0001,1,13,1,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wriddhiman Chahar,6,0,6,,False,,,
D0000074,M0001,1,13,2,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wriddhiman Chahar,4,0,4,,False,,,
D0000075,M0001,1,13,3,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wriddhiman Chahar,2,0,2,,False,,,
D0000076,M0001,1,13,4,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wriddhiman Chahar,6,0,6,,False,,,
D0000077,M0001,1,13,5,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wriddhiman Chahar,4,0,4,,False,,,
D0000078,M0001,1,13,6,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wriddhiman Chahar,2,0,2,,False,,,
D0000079,M0001,1,14,1,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Aiden Anderson,4,0,4,,False,,,
D0000080,M0001,1,14,2,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Aiden Anderson,2,0,2,,False,,,
D0000081,M0001,1,14,3,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Aiden Anderson,0,0,0,,False,,,
D0000082,M0001,1,14,4,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Aiden Anderson,1,0,1,,False,,,
D0000083,M0001,1,14,5,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Aiden Anderson,1,0,1,,False,,,
D0000084,M0001,1,14,6,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Aiden Anderson,2,0,2,,False,,,
D0000085,M0001,1,15,1,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wahab Dhawan,0,0,0,,False,,,
D0000086,M0001,1,15,2,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wahab Dhawan,4,0,4,,False,,,
D0000087,M0001,1,15,3,Kings XI Punjab,Royal Challengers Bangalore,Harry Khan,Adil Taylor,Wahab Dhawan,4,0,4,,False,,,
D0000088,M0001,2,1,1,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Ambati van der Dussen,4,0,4,,False,,,
D0000089,M0001,2,1,2,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Ambati van der Dussen,1,0,1,,False,,,
